Temps	Déplacement	Force
36,9	0,6342	3,1897
37	0,6359	3,196
37,1	0,6377	3,2041
37,2	0,6393	3,2092
37,3	0,641	3,2159
37,4	0,6427	3,2222
37,5	0,6443	3,2273
37,6	0,6459	3,2328
37,7	0,6477	3,2402
37,8	0,6494	3,2466
37,9	0,651	3,2527
38	0,6527	3,2579
38,1	0,6543	3,2637
38,2	0,6559	3,2692
38,3	0,6576	3,2759
38,4	0,6594	3,2822
38,5	0,661	3,2877
38,6	0,6627	3,2925
38,7	0,6643	3,2987
38,8	0,6659	3,304
38,9	0,6675	3,3101
39	0,6693	3,3176
39,1	0,671	3,3231
39,2	0,6727	3,329
39,3	0,6744	3,335
39,4	0,676	3,3394
39,5	0,6776	3,3454
39,6	0,6792	3,3513
39,7	0,681	3,3585
39,8	0,6827	3,3642
39,9	0,6844	3,3708
40	0,686	3,3751
40,1	0,6875	3,3806
40,2	0,6892	3,386
40,3	0,691	3,3929
40,4	0,6927	3,3988
40,5	0,6943	3,404
40,6	0,696	3,4104
40,7	0,6976	3,4158
40,8	0,6992	3,4213
40,9	0,701	3,4277
41	0,7027	3,434
41,1	0,7043	3,4387
41,2	0,706	3,4446
41,3	0,7076	3,4505
41,4	0,7092	3,4554
41,5	0,7109	3,4626
41,6	0,7127	3,4693
41,7	0,7143	3,4746
41,8	0,716	3,4811
41,9	0,7177	3,4861
42	0,7193	3,4912
42,1	0,7209	3,4961
42,2	0,7226	3,5037
42,3	0,7243	3,5097
42,4	0,7261	3,516
42,5	0,7277	3,5213
42,6	0,7293	3,5269
42,7	0,7309	3,5314
42,8	0,7326	3,537
42,9	0,7344	3,5445
43	0,736	3,5505
43,1	0,7377	3,5558
43,2	0,7393	3,5623
43,3	0,7409	3,5661
43,4	0,7425	3,572
43,5	0,7443	3,5794
43,6	0,7461	3,5858
43,7	0,7477	3,59
43,8	0,7493	3,5959
43,9	0,751	3,6017
44	0,7526	3,607
44,1	0,7542	3,613
44,2	0,756	3,6202
44,3	0,7577	3,6248
44,4	0,7593	3,6299
44,5	0,761	3,6364
44,6	0,7625	3,6408
44,7	0,7642	3,6466
44,8	0,766	3,6536
44,9	0,7677	3,6597
45	0,7694	3,6652
45,1	0,771	3,6706
45,2	0,7726	3,6763
45,3	0,7742	3,6806
45,4	0,7759	3,6885
45,5	0,7777	3,6945
45,6	0,7794	3,6996
45,7	0,781	3,7045
45,8	0,7827	3,71
45,9	0,7842	3,714
46	0,7859	3,7201
46,1	0,7877	3,7281
46,2	0,7894	3,7334
46,3	0,791	3,7392
46,4	0,7927	3,7446
46,5	0,7943	3,7502
46,6	0,7959	3,7548
46,7	0,7976	3,7617
46,8	0,7994	3,7672
46,9	0,801	3,7732
47	0,8027	3,7788
47,1	0,8043	3,784
47,2	0,8059	3,7887
47,3	0,8075	3,7945
47,4	0,8093	3,801
47,5	0,811	3,8072
47,6	0,8127	3,8122
47,7	0,8143	3,8183
47,8	0,8159	3,8228
47,9	0,8175	3,8284
48	0,8193	3,8354
48,1	0,8211	3,8421
48,2	0,8227	3,8466
48,3	0,8244	3,851
48,4	0,826	3,8572
48,5	0,8276	3,8607
48,6	0,8292	3,8677
48,7	0,831	3,8737
48,8	0,8327	3,8799
48,9	0,8343	3,8854
49	0,836	3,89
49,1	0,8375	3,8954
49,2	0,8392	3,9014
49,3	0,841	3,9082
49,4	0,8427	3,9131
49,5	0,8444	3,9185
49,6	0,846	3,9242
49,7	0,8477	3,9295
49,8	0,8492	3,9335
49,9	0,8509	3,9397
50	0,8527	3,947
50,1	0,8544	3,9521
50,2	0,856	3,9574
50,3	0,8576	3,9625
50,4	0,8592	3,9665
50,5	0,8609	3,9732
50,6	0,8627	3,9799
50,7	0,8644	3,9856
50,8	0,866	3,9909
50,9	0,8677	3,9966
51	0,8693	4,0021
51,1	0,8709	4,0065
51,2	0,8726	4,0123
51,3	0,8744	4,0187
51,4	0,876	4,0239
51,5	0,8777	4,0291
51,6	0,8794	4,0348
51,7	0,8809	4,0397
51,8	0,8825	4,0443
51,9	0,8843	4,052
52	0,886	4,0577
52,1	0,8877	4,0634
52,2	0,8894	4,0692
52,3	0,891	4,0735
52,4	0,8926	4,0784
52,5	0,8943	4,0843
52,6	0,896	4,0908
52,7	0,8977	4,0964
52,8	0,8993	4,1018
52,9	0,901	4,1065
53	0,9026	4,1119
53,1	0,9042	4,1169
53,2	0,906	4,1241
53,3	0,9077	4,1297
53,4	0,9093	4,1347
53,5	0,911	4,1392
53,6	0,9126	4,144
53,7	0,9142	4,1498
53,8	0,916	4,1564
53,9	0,9177	4,1621
54	0,9194	4,1675
54,1	0,921	4,1734
54,2	0,9227	4,1781
54,3	0,9242	4,1823
54,4	0,9259	4,1881
54,5	0,9276	4,1945
54,6	0,9293	4,1993
54,7	0,931	4,2049
54,8	0,9327	4,2113
54,9	0,9343	4,2158
55	0,9359	4,2208
55,1	0,9376	4,2271
55,2	0,9394	4,2332
55,3	0,941	4,2379
55,4	0,9427	4,2426
55,5	0,9443	4,2474
55,6	0,9459	4,2525
55,7	0,9476	4,2589
55,8	0,9494	4,2653
55,9	0,951	4,2712
56	0,9527	4,2761
56,1	0,9543	4,2811
56,2	0,9559	4,285
56,3	0,9575	4,2907
56,4	0,9593	4,2977
56,5	0,961	4,3027
56,6	0,9627	4,3083
56,7	0,9644	4,3147
56,8	0,966	4,3184
56,9	0,9676	4,3233
57	0,9692	4,3295
57,1	0,971	4,3352
57,2	0,9727	4,3403
57,3	0,9744	4,346
57,4	0,976	4,3517
57,5	0,9775	4,356
57,6	0,9792	4,3612
57,7	0,981	4,3692
57,8	0,9827	4,3745
57,9	0,9844	4,3795
58	0,986	4,3844
58,1	0,9876	4,3891
58,2	0,9892	4,3936
58,3	0,991	4,4009
58,4	0,9927	4,4075
58,5	0,9943	4,4117
58,6	0,996	4,4175
58,7	0,9976	4,4218
58,8	0,9992	4,4265
58,9	1,0009	4,4322
59	1,0027	4,4389
59,1	1,0043	4,4444
59,2	1,006	4,45
59,3	1,0077	4,4556
59,4	1,0093	4,4602
59,5	1,0109	4,4654
59,6	1,0126	4,4706
59,7	1,0143	4,477
59,8	1,016	4,4828
59,9	1,0177	4,4875
60	1,0193	4,4923
60,1	1,0209	4,4966
60,2	1,0225	4,5024
60,3	1,0244	4,5094
60,4	1,026	4,5147
60,5	1,0277	4,5192
60,6	1,0293	4,5249
60,7	1,0309	4,5292
60,8	1,0325	4,535
60,9	1,0343	4,5419
61	1,0361	4,5475
61,1	1,0377	4,5516
61,2	1,0393	4,5568
61,3	1,041	4,5621
61,4	1,0426	4,5671
61,5	1,0442	4,5721
61,6	1,046	4,5793
61,7	1,0477	4,5845
61,8	1,0493	4,5886
61,9	1,051	4,594
62	1,0526	4,5989
62,1	1,0542	4,6039
62,2	1,0559	4,6111
62,3	1,0577	4,6157
62,4	1,0594	4,6216
62,5	1,061	4,6268
62,6	1,0627	4,6312
62,7	1,0642	4,6357
62,8	1,0659	4,6421
62,9	1,0677	4,6484
63	1,0694	4,6539
63,1	1,071	4,6583
63,2	1,0726	4,6638
63,3	1,0742	4,6681
63,4	1,0759	4,6748
63,5	1,0777	4,6815
63,6	1,0794	4,6873
63,7	1,081	4,6915
63,8	1,0827	4,697
63,9	1,0843	4,7023
64	1,0859	4,7067
64,1	1,0876	4,7129
64,2	1,0893	4,7186
64,3	1,091	4,7242
64,4	1,0927	4,7296
64,5	1,0944	4,7348
64,6	1,0959	4,7393
64,7	1,0975	4,7434
64,8	1,0993	4,7508
64,9	1,101	4,7562
65	1,1027	4,7622
65,1	1,1043	4,7673
65,2	1,106	4,7713
65,3	1,1075	4,7774
65,4	1,1093	4,7832
65,5	1,1111	4,7893
65,6	1,1127	4,7936
65,7	1,1143	4,7982
65,8	1,116	4,8037
65,9	1,1175	4,8083
66	1,1192	4,8145
66,1	1,121	4,8209
66,2	1,1227	4,8267
66,3	1,1243	4,8319
66,4	1,126	4,8363
66,5	1,1276	4,8425
66,6	1,1292	4,8464
66,7	1,1309	4,8527
66,8	1,1327	4,8584
66,9	1,1343	4,8635
67	1,136	4,8687
67,1	1,1377	4,8742
67,2	1,1392	4,8779
67,3	1,1409	4,8836
67,4	1,1426	4,8897
67,5	1,1443	4,8961
67,6	1,146	4,9013
67,7	1,1477	4,9066
67,8	1,1493	4,9105
67,9	1,1509	4,9154
68	1,1526	4,922
68,1	1,1544	4,9274
68,2	1,156	4,9338
68,3	1,1577	4,9382
68,4	1,1593	4,9434
68,5	1,1609	4,9479
68,6	1,1626	4,9535
68,7	1,1643	4,9602
68,8	1,166	4,9654
68,9	1,1676	4,9702
69	1,1693	4,9756
69,1	1,1709	4,9807
69,2	1,1725	4,9858
69,3	1,1743	4,9922
69,4	1,176	4,9975
69,5	1,1777	5,0035
69,6	1,1794	5,0082
69,7	1,181	5,0116
69,8	1,1825	5,0162
69,9	1,1842	5,0216
70	1,186	5,0286
70,1	1,1877	5,0342
70,2	1,1893	5,0381
70,3	1,191	5,0436
70,4	1,1925	5,047
70,5	1,1942	5,0521
70,6	1,196	5,0595
70,7	1,1977	5,0647
70,8	1,1994	5,0688
70,9	1,201	5,0733
71	1,2026	5,0789
71,1	1,2042	5,0834
71,2	1,2059	5,0896
71,3	1,2077	5,0951
71,4	1,2094	5,1005
71,5	1,211	5,1058
71,6	1,2127	5,1097
71,7	1,2142	5,1136
71,8	1,2159	5,1186
71,9	1,2176	5,1254
72	1,2193	5,131
72,1	1,221	5,1362
72,2	1,2227	5,1416
72,3	1,2243	5,1466
72,4	1,2259	5,1502
72,5	1,2276	5,1559
72,6	1,2294	5,1623
72,7	1,2311	5,1671
72,8	1,2327	5,1713
72,9	1,2343	5,1773
73	1,2359	5,1813
73,1	1,2376	5,187
73,2	1,2394	5,1932
73,3	1,241	5,1984
73,4	1,2427	5,2033
73,5	1,2443	5,2074
73,6	1,2459	5,2129
73,7	1,2475	5,2181
73,8	1,2493	5,2246
73,9	1,251	5,2296
74	1,2527	5,2346
74,1	1,2544	5,24
74,2	1,256	5,2449
74,3	1,2576	5,2481
74,4	1,2592	5,2531
74,5	1,261	5,2607
74,6	1,2626	5,2662
74,7	1,2643	5,272
74,8	1,266	5,2768
74,9	1,2676	5,2807
75	1,2692	5,2847
75,1	1,271	5,2913
75,2	1,2727	5,2973
75,3	1,2744	5,3025
75,4	1,276	5,3079
75,5	1,2776	5,3123
75,6	1,2792	5,3165
75,7	1,2809	5,3222
75,8	1,2827	5,3293
75,9	1,2843	5,3331
76	1,286	5,338
76,1	1,2876	5,3431
76,2	1,2892	5,3469
76,3	1,2909	5,3532
76,4	1,2926	5,359
76,5	1,2943	5,3647
76,6	1,296	5,3693
76,7	1,2977	5,3745
76,8	1,2993	5,3792
76,9	1,3009	5,3835
77	1,3026	5,3885
77,1	1,3043	5,395
77,2	1,306	5,4005
77,3	1,3077	5,4054
77,4	1,3093	5,4096
77,5	1,3109	5,4138
77,6	1,3125	5,4182
77,7	1,3143	5,426
77,8	1,3161	5,4322
77,9	1,3177	5,4361
78	1,3193	5,4419
78,1	1,321	5,4455
78,2	1,3225	5,4497
78,3	1,3243	5,4559
78,4	1,3261	5,4624
78,5	1,3277	5,4671
78,6	1,3293	5,4715
78,7	1,331	5,4775
78,8	1,3326	5,4817
78,9	1,3342	5,4867
79	1,336	5,4929
79,1	1,3377	5,4984
79,2	1,3393	5,5038
79,3	1,341	5,5096
79,4	1,3426	5,5142
79,5	1,3442	5,5181
79,6	1,3459	5,5241
79,7	1,3477	5,5316
79,8	1,3494	5,5359
79,9	1,351	5,5403
80	1,3527	5,5458
80,1	1,3542	5,5493
80,2	1,3559	5,5551
80,3	1,3577	5,5618
80,4	1,3594	5,5675
80,5	1,361	5,5723
80,6	1,3627	5,5769
80,7	1,3642	5,5814
80,8	1,3658	5,5861
80,9	1,3676	5,594
81	1,3694	5,5998
81,1	1,371	5,6035
81,2	1,3727	5,6086
81,3	1,3744	5,614
81,4	1,3759	5,6189
81,5	1,3776	5,6234
81,6	1,3793	5,6302
81,7	1,381	5,6345
81,8	1,3827	5,6391
81,9	1,3844	5,6453
82	1,3859	5,6496
82,1	1,3875	5,6552
82,2	1,3893	5,6609
82,3	1,391	5,6676
82,4	1,3927	5,6725
82,5	1,3944	5,677
82,6	1,396	5,6818
82,7	1,3976	5,6855
82,8	1,3992	5,6915
82,9	1,401	5,6989
83	1,4027	5,7035
83,1	1,4043	5,7083
83,2	1,406	5,7138
83,3	1,4075	5,7174
83,4	1,4092	5,7229
83,5	1,411	5,7302
83,6	1,4127	5,7356
83,7	1,4143	5,7407
83,8	1,416	5,7458
83,9	1,4177	5,7503
84	1,4193	5,7552
84,1	1,421	5,7611
84,2	1,4227	5,7674
84,3	1,4244	5,7727
84,4	1,426	5,7773
84,5	1,4277	5,7827
84,6	1,4292	5,7866
84,7	1,4308	5,7915
84,8	1,4326	5,7983
84,9	1,4343	5,8036
85	1,436	5,8084
85,1	1,4377	5,8142
85,2	1,4393	5,8188
85,3	1,4409	5,8234
85,4	1,4426	5,8301
85,5	1,4444	5,8365
85,6	1,446	5,8408
85,7	1,4477	5,8456
85,8	1,4494	5,8511
85,9	1,4509	5,8547
86	1,4525	5,86
86,1	1,4543	5,8674
86,2	1,456	5,8728
86,3	1,4577	5,8783
86,4	1,4594	5,8845
86,5	1,461	5,8877
86,6	1,4626	5,8924
86,7	1,4643	5,8977
86,8	1,466	5,9039
86,9	1,4677	5,9092
87	1,4694	5,9147
87,1	1,471	5,9202
87,2	1,4726	5,9245
87,3	1,4742	5,9297
87,4	1,476	5,936
87,5	1,4777	5,9417
87,6	1,4793	5,9464
87,7	1,481	5,9519
87,8	1,4826	5,956
87,9	1,4842	5,961
88	1,486	5,9687
88,1	1,4877	5,9741
88,2	1,4894	5,9795
88,3	1,491	5,9844
88,4	1,4926	5,9898
88,5	1,4942	5,9938
88,6	1,4959	5,9993
88,7	1,4977	6,0056
88,8	1,4993	6,0107
88,9	1,501	6,0166
89	1,5027	6,0214
89,1	1,5042	6,0254
89,2	1,5058	6,031
89,3	1,5076	6,0375
89,4	1,5093	6,0422
89,5	1,511	6,0474
89,6	1,5127	6,0526
89,7	1,5143	6,0581
89,8	1,5159	6,0626
89,9	1,5176	6,068
90	1,5194	6,0751
90,1	1,5211	6,0789
90,2	1,5227	6,0836
90,3	1,5243	6,0889
90,4	1,5259	6,0929
90,5	1,5275	6,0986
90,6	1,5293	6,1057
90,7	1,531	6,1115
90,8	1,5327	6,1161
90,9	1,5343	6,1217
91	1,536	6,1255
91,1	1,5376	6,1307
91,2	1,5393	6,1357
91,3	1,541	6,1418
91,4	1,5427	6,1473
91,5	1,5444	6,1523
91,6	1,546	6,1569
91,7	1,5476	6,1615
91,8	1,5492	6,1665
91,9	1,551	6,1732
92	1,5526	6,1772
92,1	1,5543	6,1835
92,2	1,556	6,1881
92,3	1,5576	6,1927
92,4	1,5592	6,1967
92,5	1,5609	6,2034
92,6	1,5627	6,2097
92,7	1,5644	6,2152
92,8	1,566	6,2198
92,9	1,5677	6,224
93	1,5692	6,2276
93,1	1,5709	6,2329
93,2	1,5727	6,2402
93,3	1,5744	6,2452
93,4	1,576	6,2502
93,5	1,5776	6,2547
93,6	1,5792	6,2589
93,7	1,5809	6,264
93,8	1,5826	6,2709
93,9	1,5843	6,2761
94	1,5861	6,2821
94,1	1,5877	6,2867
94,2	1,5893	6,2913
94,3	1,5909	6,2952
94,4	1,5926	6,3002
94,5	1,5943	6,3065
94,6	1,596	6,3112
94,7	1,5977	6,3167
94,8	1,5994	6,3221
94,9	1,6009	6,3262
95	1,6025	6,3313
95,1	1,6043	6,3374
95,2	1,6061	6,3431
95,3	1,6077	6,3471
95,4	1,6093	6,3518
95,5	1,611	6,3571
95,6	1,6125	6,361
95,7	1,6142	6,3669
95,8	1,6161	6,3738
95,9	1,6177	6,3778
96	1,6193	6,3815
96,1	1,621	6,387
96,2	1,6226	6,3911
96,3	1,6242	6,3963
96,4	1,626	6,4025
96,5	1,6277	6,4082
96,6	1,6294	6,4131
96,7	1,631	6,4175
96,8	1,6327	6,4222
96,9	1,6342	6,4254
97	1,6359	6,4301
97,1	1,6377	6,4364
97,2	1,6394	6,4413
97,3	1,641	6,4454
97,4	1,6427	6,4513
97,5	1,6442	6,4545
97,6	1,6458	6,458
97,7	1,6476	6,4649
97,8	1,6494	6,47
97,9	1,651	6,4749
98	1,6527	6,4778
98,1	1,6543	6,4814
98,2	1,6559	6,4851
98,3	1,6576	6,491
98,4	1,6594	6,4959
98,5	1,661	6,4971
98,6	1,6627	6,4993
98,7	1,6644	6,5029
98,8	1,6659	6,5059
98,9	1,6675	6,5093
99	1,6693	6,5147
99,1	1,671	6,5189
99,2	1,6727	6,5232
99,3	1,6744	6,5279
99,4	1,676	6,5319
99,5	1,6776	6,5358
99,6	1,6793	6,541
99,7	1,681	6,5463
99,8	1,6827	6,5515
99,9	1,6844	6,5553
100	1,686	6,5591
100,1	1,6876	6,5625
100,2	1,6892	6,5658
100,3	1,691	6,5723
100,4	1,6927	6,5768
100,5	1,6943	6,5811
100,6	1,696	6,5851
100,7	1,6976	6,5888
100,8	1,6992	6,5927
100,9	1,701	6,5984
101	1,7027	6,6032
101,1	1,7043	6,6067
101,2	1,706	6,6109
101,3	1,7077	6,6149
101,4	1,7092	6,6179
101,5	1,7109	6,6216
101,6	1,7127	6,6253
101,7	1,7143	6,6297
101,8	1,716	6,6328
101,9	1,7177	6,6366
102	1,7193	6,6392
102,1	1,7208	6,6426
102,2	1,7226	6,6477
102,3	1,7244	6,6516
102,4	1,726	6,6546
102,5	1,7277	6,6582
102,6	1,7293	6,6606
102,7	1,7309	6,6636
102,8	1,7326	6,6671
102,9	1,7344	6,6726
103	1,736	6,6755
103,1	1,7377	6,6775
103,2	1,7393	6,68
103,3	1,7409	6,68
